               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099911,            0.018954,            0.056233,          1.1218e-05,          0.00015987,          5.2953e-06,          5.2953e-07,             0.10218,            0.013455,            0.048012,             0.00062,             0.00062,             0.09442
                   1,            0.087059,             0.01399,            0.039474,            0.003091,           0.0030376,          0.00079863,          0.00019221,             0.07718,            0.018566,            0.037215,           0.0012499,           0.0012499,             0.08875
                   2,            0.067974,            0.017531,            0.034207,             0.47128,            0.037826,            0.012075,           0.0028465,            0.067218,             0.02021,            0.034836,           0.0018796,           0.0018796,             0.08308
                   3,            0.065181,             0.01642,            0.032852,             0.69892,            0.081829,            0.020232,           0.0049432,            0.065788,             0.01694,            0.033614,           0.0025087,           0.0025087,            0.077409
                   4,            0.063983,            0.013946,            0.032082,             0.73598,            0.089702,            0.054259,            0.013577,            0.055476,            0.015318,             0.03248,           0.0031372,           0.0031372,            0.071737
                   5,            0.057888,            0.012118,            0.028909,             0.59597,             0.10115,            0.039801,            0.010028,            0.059688,            0.013528,            0.031791,           0.0037648,           0.0037648,            0.066065
                   6,             0.05624,            0.012411,            0.030419,             0.61457,             0.11731,            0.060581,             0.01748,            0.049613,            0.013441,            0.031044,           0.0043912,           0.0043912,            0.060391
                   7,            0.053308,            0.011543,            0.030776,             0.60713,            0.092719,            0.051497,            0.012525,            0.053723,            0.012207,             0.03015,           0.0050163,           0.0050163,            0.054716
                   8,            0.058211,            0.010719,             0.02932,             0.77456,            0.094341,            0.071082,            0.022432,            0.052783,            0.012104,            0.028881,           0.0056399,           0.0056399,             0.04904
                   9,            0.054894,            0.011193,            0.026698,              0.7671,             0.05951,            0.044964,            0.017109,            0.060693,            0.015116,            0.029354,           0.0062618,           0.0062618,            0.043362
                  10,            0.055141,             0.01119,            0.025299,             0.77483,              0.1009,            0.074092,             0.02217,            0.053902,            0.013572,            0.026181,           0.0068817,           0.0068817,            0.037682
                  11,            0.055441,            0.011347,            0.025909,             0.66796,             0.10567,             0.07632,            0.024107,            0.055188,            0.012597,            0.023398,           0.0074994,           0.0074994,            0.031999
                  12,            0.052992,            0.010519,            0.023508,             0.77367,             0.14664,            0.097718,            0.032139,            0.054402,            0.011858,            0.023619,           0.0081148,           0.0081148,            0.026315
                  13,            0.053593,            0.010848,            0.021061,             0.79004,             0.13933,             0.09748,            0.027663,            0.052631,            0.011471,            0.021179,           0.0087276,           0.0087276,            0.020628
                  14,            0.055686,            0.010168,            0.020593,             0.67924,            0.098422,             0.07949,            0.024632,            0.056039,             0.01362,            0.021802,           0.0093377,           0.0093377,            0.014938
                  15,            0.054644,           0.0099692,                0.02,               0.792,             0.12181,            0.096632,            0.029523,            0.059269,            0.011154,             0.01964,           0.0098757,           0.0098757,           0.0098757
                  16,            0.050376,            0.010238,            0.020442,             0.81733,             0.14054,             0.12511,            0.042001,            0.052334,            0.011504,            0.020607,           0.0098757,           0.0098757,           0.0098757
                  17,            0.048999,            0.010158,            0.018843,             0.82792,             0.13994,             0.12419,            0.045374,            0.050755,            0.011286,            0.019771,           0.0098586,           0.0098586,           0.0098586
                  18,            0.047513,           0.0097969,            0.018291,             0.84931,             0.13142,             0.12231,               0.045,            0.047303,            0.011233,            0.019849,           0.0098405,           0.0098405,           0.0098405
                  19,            0.047994,           0.0097769,             0.01975,             0.84118,             0.14098,             0.13716,             0.05102,            0.049823,            0.011175,            0.020115,           0.0098213,           0.0098213,           0.0098213
                  20,            0.043515,           0.0096243,            0.017417,             0.83873,             0.15383,             0.14033,            0.050382,            0.047264,            0.010196,            0.019023,           0.0098011,           0.0098011,           0.0098011
                  21,            0.048717,           0.0092803,            0.021458,             0.84772,             0.15429,             0.14593,            0.056491,            0.045533,            0.010302,            0.018978,           0.0097798,           0.0097798,           0.0097798
                  22,            0.044979,           0.0093116,            0.019416,             0.84729,             0.18931,             0.16835,            0.069167,            0.040337,            0.010055,            0.018971,           0.0097574,           0.0097574,           0.0097574
                  23,            0.044275,           0.0090543,            0.017686,             0.84582,             0.17018,             0.16422,            0.057715,            0.042792,            0.010168,            0.018885,            0.009734,            0.009734,            0.009734
                  24,             0.04194,           0.0089476,            0.016804,             0.86183,             0.17247,             0.17152,            0.069117,            0.042013,           0.0098752,            0.018394,           0.0097095,           0.0097095,           0.0097095
                  25,            0.040217,           0.0089658,            0.016484,             0.84698,             0.17755,             0.17656,            0.078176,            0.043309,            0.009731,            0.018197,            0.009684,            0.009684,            0.009684
                  26,            0.043489,           0.0086653,            0.017819,              0.8463,             0.15652,             0.17111,             0.07062,            0.044464,           0.0097418,             0.01851,           0.0096575,           0.0096575,           0.0096575
                  27,            0.040554,            0.008943,            0.015651,             0.85145,             0.15656,             0.16088,            0.066057,            0.042258,           0.0094859,             0.01771,           0.0096299,           0.0096299,           0.0096299
                  28,            0.040169,           0.0090634,             0.01784,             0.85804,             0.17668,                0.18,             0.07459,            0.041794,           0.0095522,             0.01756,           0.0096013,           0.0096013,           0.0096013
                  29,            0.039825,            0.008822,            0.016349,             0.85295,             0.17734,             0.17941,            0.076781,            0.042255,           0.0094033,            0.017758,           0.0095717,           0.0095717,           0.0095717
                  30,            0.041604,           0.0085807,            0.015699,             0.86447,             0.18237,             0.19194,            0.078479,            0.041451,           0.0094889,            0.017498,           0.0095411,           0.0095411,           0.0095411
                  31,            0.039131,           0.0086566,             0.01466,             0.71615,             0.22234,             0.18866,            0.074638,            0.044843,            0.009261,            0.017125,           0.0095095,           0.0095095,           0.0095095
                  32,            0.038042,           0.0081227,            0.016524,             0.86032,             0.18082,             0.18938,            0.082255,             0.04204,           0.0090919,            0.017085,           0.0094769,           0.0094769,           0.0094769
                  33,            0.040072,           0.0087227,            0.016836,             0.75626,             0.21231,             0.19745,            0.082967,            0.038915,             0.00907,            0.016469,           0.0094434,           0.0094434,           0.0094434
                  34,             0.04041,           0.0087363,            0.017256,             0.75613,             0.19639,             0.20324,             0.08864,            0.039166,           0.0093483,            0.015802,           0.0094088,           0.0094088,           0.0094088
                  35,            0.038175,           0.0083669,            0.015322,              0.7535,             0.16588,             0.18038,            0.070867,            0.040585,           0.0092531,             0.01598,           0.0093733,           0.0093733,           0.0093733
                  36,            0.035962,           0.0080558,             0.01448,             0.74779,             0.16065,             0.17594,            0.072408,            0.043599,           0.0088946,            0.016185,           0.0093369,           0.0093369,           0.0093369
                  37,            0.039056,           0.0082666,            0.016114,             0.79055,             0.16776,             0.19054,             0.06789,            0.040503,            0.009059,            0.016777,           0.0092995,           0.0092995,           0.0092995
                  38,            0.036101,           0.0084053,            0.014151,             0.79953,             0.19168,             0.19704,            0.086348,            0.038934,           0.0092153,            0.016345,           0.0092611,           0.0092611,           0.0092611
                  39,            0.039582,           0.0086045,            0.016784,             0.77253,              0.1981,             0.20882,            0.098154,            0.037699,           0.0088939,            0.015784,           0.0092219,           0.0092219,           0.0092219
                  40,            0.038562,           0.0081234,            0.014625,             0.76186,             0.19894,             0.20643,            0.096988,            0.039083,           0.0089137,            0.015438,           0.0091817,           0.0091817,           0.0091817
                  41,            0.039592,           0.0082172,            0.016157,             0.78372,              0.2145,             0.21071,            0.096632,            0.038514,           0.0088172,            0.015326,           0.0091406,           0.0091406,           0.0091406
                  42,            0.036331,           0.0081206,            0.013651,             0.79883,             0.21366,             0.22329,             0.10329,            0.037581,           0.0086416,            0.015313,           0.0090986,           0.0090986,           0.0090986
                  43,            0.037263,           0.0082416,            0.014824,             0.77237,             0.17759,             0.20012,            0.080021,            0.039815,            0.008821,            0.015426,           0.0090557,           0.0090557,           0.0090557
                  44,            0.036683,           0.0080785,            0.014239,             0.58822,              0.2641,             0.22548,              0.1034,            0.038182,           0.0086627,            0.015123,           0.0090119,           0.0090119,           0.0090119
                  45,            0.036137,           0.0081255,            0.013792,             0.84646,             0.21082,              0.2397,             0.11206,            0.037858,           0.0087358,            0.014575,           0.0089673,           0.0089673,           0.0089673
                  46,            0.036339,           0.0080387,            0.014184,             0.75504,             0.22712,             0.23259,             0.11223,            0.036197,            0.008682,            0.015329,           0.0089218,           0.0089218,           0.0089218
                  47,            0.037856,           0.0080243,            0.014859,             0.81669,             0.20678,             0.22865,             0.10704,            0.037028,           0.0087653,            0.014578,           0.0088755,           0.0088755,           0.0088755
                  48,             0.03613,             0.00835,            0.013103,             0.80861,             0.22877,             0.23301,             0.10765,            0.036774,            0.008724,            0.013951,           0.0088283,           0.0088283,           0.0088283
                  49,            0.036202,           0.0079512,            0.014305,             0.67131,             0.26241,             0.25102,              0.1217,            0.035892,           0.0087064,            0.014006,           0.0087804,           0.0087804,           0.0087804
                  50,            0.035177,           0.0081115,            0.012532,             0.67898,             0.23926,             0.23735,             0.10904,            0.038352,           0.0086892,            0.013789,           0.0087316,           0.0087316,           0.0087316
                  51,            0.036225,           0.0082057,              0.0125,             0.77978,             0.22319,             0.23695,             0.11078,            0.036794,           0.0087817,            0.013741,            0.008682,            0.008682,            0.008682
                  52,            0.036849,           0.0078542,            0.013638,             0.67873,             0.24122,             0.22865,             0.10345,            0.037782,           0.0086971,            0.013382,           0.0086316,           0.0086316,           0.0086316
                  53,            0.035392,           0.0084541,            0.014231,             0.68718,             0.23374,             0.24763,              0.1126,            0.037402,           0.0088498,            0.013337,           0.0085805,           0.0085805,           0.0085805
                  54,            0.034224,           0.0080606,            0.011736,             0.62337,             0.27795,             0.24684,               0.113,            0.037469,           0.0085979,            0.012803,           0.0085286,           0.0085286,           0.0085286
                  55,            0.034855,           0.0080501,            0.011064,             0.68347,             0.25482,             0.25023,             0.11958,            0.036216,           0.0085591,            0.013016,           0.0084759,           0.0084759,           0.0084759
                  56,            0.034173,           0.0080215,            0.011175,             0.71806,              0.2459,             0.24994,             0.11941,            0.037662,           0.0086212,             0.01261,           0.0084225,           0.0084225,           0.0084225
                  57,            0.034785,           0.0080214,            0.011548,             0.79698,             0.20116,              0.2246,             0.10524,            0.037197,            0.009196,            0.013725,           0.0083684,           0.0083684,           0.0083684
                  58,            0.035663,           0.0078707,             0.01184,             0.76864,             0.23975,             0.25489,             0.12594,            0.035836,           0.0087822,            0.013737,           0.0083136,           0.0083136,           0.0083136
                  59,            0.035723,           0.0083825,            0.014257,             0.82633,             0.23785,             0.25226,             0.11531,            0.037309,           0.0089623,            0.013632,           0.0082581,           0.0082581,           0.0082581
                  60,             0.03629,           0.0082289,            0.013818,             0.78632,             0.22006,             0.22623,            0.097852,             0.03875,           0.0096406,            0.013502,           0.0082019,           0.0082019,           0.0082019
                  61,            0.035079,           0.0081393,            0.010258,             0.62523,             0.32885,             0.27572,             0.13875,            0.037207,           0.0085248,            0.012781,            0.008145,            0.008145,            0.008145
                  62,            0.035469,           0.0080614,            0.012338,             0.70725,             0.26528,             0.26521,             0.11989,            0.038718,           0.0084843,            0.012338,           0.0080875,           0.0080875,           0.0080875
                  63,            0.038449,           0.0077997,            0.012022,             0.68107,             0.25862,              0.2649,             0.12588,             0.03667,           0.0085056,            0.012722,           0.0080294,           0.0080294,           0.0080294
                  64,            0.033048,           0.0079414,            0.010107,             0.60959,             0.32062,              0.2775,             0.13781,            0.036041,           0.0085612,              0.0142,           0.0079706,           0.0079706,           0.0079706
                  65,            0.033504,           0.0078887,            0.010679,             0.60524,             0.34626,              0.2877,             0.14571,            0.035801,            0.008564,             0.01201,           0.0079112,           0.0079112,           0.0079112
                  66,            0.034629,            0.007825,            0.011183,             0.59741,             0.33675,             0.29021,             0.14346,            0.035035,            0.008488,            0.012924,           0.0078512,           0.0078512,           0.0078512
                  67,            0.032634,           0.0076679,            0.011372,             0.59495,             0.30156,             0.26844,             0.12898,            0.036689,           0.0088042,            0.012352,           0.0077907,           0.0077907,           0.0077907
                  68,            0.033996,            0.007459,            0.011526,             0.58103,             0.34057,             0.28327,             0.14346,            0.035841,           0.0086066,             0.01346,           0.0077296,           0.0077296,           0.0077296
                  69,            0.033777,           0.0077401,            0.011562,             0.57527,             0.33646,             0.27539,             0.13404,            0.036425,           0.0086303,            0.014331,           0.0076679,           0.0076679,           0.0076679
                  70,            0.032965,           0.0076954,            0.010768,             0.58526,             0.33408,             0.28493,             0.13942,            0.036243,           0.0085296,            0.011894,           0.0076057,           0.0076057,           0.0076057
                  71,            0.036525,           0.0079254,            0.011334,             0.56766,             0.35725,             0.29144,             0.14325,            0.035383,           0.0084207,            0.013467,            0.007543,            0.007543,            0.007543
                  72,            0.033962,           0.0078278,            0.010603,             0.59928,             0.33488,             0.27741,             0.13506,            0.036382,           0.0087822,            0.013324,           0.0074797,           0.0074797,           0.0074797
                  73,            0.032415,           0.0079841,           0.0097263,              0.6316,             0.30817,             0.27965,             0.13848,            0.035522,           0.0084961,            0.012075,            0.007416,            0.007416,            0.007416
                  74,            0.033263,           0.0077261,            0.010725,              0.8216,             0.25768,               0.298,              0.1467,            0.033533,           0.0083376,            0.011851,           0.0073518,           0.0073518,           0.0073518
                  75,            0.032655,           0.0077135,            0.010476,             0.69141,             0.28401,             0.28519,             0.14025,            0.034816,           0.0083965,            0.012018,           0.0072872,           0.0072872,           0.0072872
                  76,            0.032054,           0.0074883,             0.01018,             0.67958,             0.28965,              0.2878,             0.14564,            0.034218,           0.0084685,            0.011832,           0.0072221,           0.0072221,           0.0072221
                  77,            0.031452,           0.0076739,            0.011067,             0.62985,             0.34449,             0.31188,             0.16415,            0.034354,           0.0083035,            0.012151,           0.0071566,           0.0071566,           0.0071566
                  78,            0.035083,           0.0073996,             0.01075,              0.5823,             0.35811,             0.29779,             0.14933,            0.034884,           0.0084954,            0.012279,           0.0070906,           0.0070906,           0.0070906
                  79,            0.031706,           0.0076806,            0.010178,             0.68359,             0.33525,             0.30926,             0.15622,            0.034159,           0.0084765,            0.011707,           0.0070243,           0.0070243,           0.0070243
                  80,            0.032065,            0.007658,            0.010469,             0.64618,              0.3146,              0.2877,             0.13903,            0.035477,           0.0084669,            0.013705,           0.0069576,           0.0069576,           0.0069576
                  81,            0.032399,           0.0076196,           0.0090261,             0.68428,             0.30853,             0.29802,             0.15031,            0.036351,           0.0084359,            0.012439,           0.0068906,           0.0068906,           0.0068906
                  82,            0.034314,            0.007389,           0.0096213,             0.60828,             0.30083,             0.28656,             0.14483,            0.033886,            0.008348,            0.012235,           0.0068232,           0.0068232,           0.0068232
                  83,            0.032669,           0.0074864,            0.010384,              0.6734,             0.32696,             0.31049,               0.165,            0.033524,           0.0080896,            0.012598,           0.0067555,           0.0067555,           0.0067555
                  84,              0.0318,           0.0075516,            0.010344,             0.70434,             0.31381,             0.31521,             0.16444,             0.03511,           0.0081602,            0.012501,           0.0066874,           0.0066874,           0.0066874
                  85,            0.031973,           0.0072172,           0.0095693,             0.65895,               0.336,             0.32746,             0.16414,            0.033842,           0.0082552,            0.011848,           0.0066191,           0.0066191,           0.0066191
                  86,            0.030732,           0.0072132,           0.0087113,             0.64997,              0.3408,             0.31067,             0.16178,            0.033251,           0.0084011,            0.011009,           0.0065505,           0.0065505,           0.0065505
                  87,            0.031422,           0.0075741,           0.0091591,             0.73978,             0.31686,             0.32213,             0.17078,            0.032764,           0.0083659,            0.011514,           0.0064816,           0.0064816,           0.0064816
                  88,            0.031554,           0.0073571,            0.010257,             0.78085,             0.29526,              0.3147,             0.16502,             0.03388,           0.0083157,            0.011796,           0.0064125,           0.0064125,           0.0064125
                  89,            0.032671,           0.0073029,           0.0091107,             0.69431,             0.32082,             0.32165,             0.16081,            0.033803,           0.0082649,            0.010221,           0.0063432,           0.0063432,           0.0063432
                  90,             0.03147,           0.0075515,           0.0086357,              0.6927,             0.34417,             0.32263,             0.16734,            0.031555,           0.0081815,            0.010647,           0.0062737,           0.0062737,           0.0062737
                  91,            0.032302,           0.0075645,           0.0092351,             0.72813,             0.30554,             0.31531,             0.16881,            0.034037,           0.0081948,            0.012063,            0.006204,            0.006204,            0.006204
                  92,            0.031036,           0.0071538,            0.010181,             0.72288,             0.30237,             0.31561,             0.16487,            0.032731,           0.0082085,            0.011423,           0.0061341,           0.0061341,           0.0061341
                  93,            0.031923,           0.0072681,           0.0087571,             0.73045,             0.34154,             0.33197,             0.16804,            0.031793,           0.0080782,            0.010436,            0.006064,            0.006064,            0.006064
                  94,            0.031487,           0.0071584,            0.008472,             0.72145,             0.33592,             0.32901,             0.17399,             0.03357,           0.0081697,            0.012742,           0.0059938,           0.0059938,           0.0059938
                  95,            0.030191,           0.0074331,           0.0087027,             0.66832,             0.33033,             0.30733,             0.15978,            0.034205,           0.0083019,            0.011044,           0.0059235,           0.0059235,           0.0059235
                  96,            0.030762,           0.0070837,           0.0088413,             0.68477,             0.32975,             0.32037,             0.16707,            0.032022,           0.0081573,            0.010585,           0.0058531,           0.0058531,           0.0058531
                  97,            0.030389,           0.0072273,           0.0082045,             0.73048,             0.32792,             0.33674,             0.17263,            0.032179,            0.008153,           0.0099546,           0.0057826,           0.0057826,           0.0057826
                  98,            0.029451,            0.007429,           0.0078244,             0.65272,             0.35426,             0.32966,               0.169,              0.0321,           0.0080591,            0.010121,            0.005712,            0.005712,            0.005712
